"City","State","year","month","temp"
"Raleigh","NC","1991","03",12.2440004348755
"Highlands","NC","1991","03",6.87900018692017
"Manteo","NC","1991","03",12.4950008392334
"Topeka","KS","1991","03",8.93000030517578
"Ann Arbor","MI","1991","03",4.41600036621094
"New York","NY","1991","03",6.60100030899048
"San Diego","CA","1991","03",12.6390008926392
"Flagstaff","AZ","1991","03",-1.37100005149841
"Ajo ","AZ","1991","03",14.5490007400513
"Portland","OR","1991","03",7.72800016403198
"Raleigh","NC","1991","04",16.7230014801025
"Highlands","NC","1991","04",11.3520002365112
"Manteo","NC","1991","04",16.3580017089844
"Topeka","KS","1991","04",14.1850004196167
"Ann Arbor","MI","1991","04",10.2530002593994
"New York","NY","1991","04",12.5120010375977
"San Diego","CA","1991","04",15.2280006408691
"Flagstaff","AZ","1991","04",3.93300008773804
"Ajo ","AZ","1991","04",19.5210018157959
"Portland","OR","1991","04",10.5090007781982
"Raleigh","NC","1991","05",22.355001449585
"Highlands","NC","1991","05",16.0799999237061
"Manteo","NC","1991","05",22.0850009918213
"Topeka","KS","1991","05",20.5440006256104
"Ann Arbor","MI","1991","05",18.4520015716553
"New York","NY","1991","05",19.8040008544922
"San Diego","CA","1991","05",15.6600008010864
"Flagstaff","AZ","1991","05",8.13899993896484
"Ajo ","AZ","1991","05",23.5710010528564
"Portland","OR","1991","05",12.5200004577637
"Raleigh","NC","1991","06",24.4330005645752
"Highlands","NC","1991","06",17.8610000610352
"Manteo","NC","1991","06",24.1370010375977
"Topeka","KS","1991","06",25.0280017852783
"Ann Arbor","MI","1991","06",21.9150009155273
"New York","NY","1991","06",23.0410003662109
"San Diego","CA","1991","06",16.9190006256104
"Flagstaff","AZ","1991","06",12.8200006484985
"Ajo ","AZ","1991","06",28.4440021514893
"Portland","OR","1991","06",15.3010005950928
"Raleigh","NC","1991","07",27.2540016174316
"Highlands","NC","1991","07",20.6340007781982
"Manteo","NC","1991","07",27.6580009460449
"Topeka","KS","1991","07",26.9400005340576
"Ann Arbor","MI","1991","07",23.0300006866455
"New York","NY","1991","07",25.068000793457
"San Diego","CA","1991","07",19.3170013427734
"Flagstaff","AZ","1991","07",17.7490005493164
"Ajo ","AZ","1991","07",31.564001083374
"Portland","OR","1991","07",20.6320018768311
"Raleigh","NC","1991","08",25.1290016174316
"Highlands","NC","1991","08",18.5530014038086
"Manteo","NC","1991","08",25.935001373291
"Topeka","KS","1991","08",25.4280014038086
"Ann Arbor","MI","1991","08",22.234001159668
"New York","NY","1991","08",24.7840003967285
"San Diego","CA","1991","08",20.4090003967285
"Flagstaff","AZ","1991","08",17.1590003967285
"Ajo ","AZ","1991","08",31.7670021057129
"Portland","OR","1991","08",20.8660011291504
"Raleigh","NC","1991","09",21.9650001525879
"Highlands","NC","1991","09",16.242000579834
"Manteo","NC","1991","09",23.1400012969971
"Topeka","KS","1991","09",20.7620010375977
"Ann Arbor","MI","1991","09",16.2910003662109
"New York","NY","1991","09",19.7240009307861
"San Diego","CA","1991","09",20.5750007629395
"Flagstaff","AZ","1991","09",13.7360010147095
"Ajo ","AZ","1991","09",28.8120021820068
"Portland","OR","1991","09",19.742000579834
"Raleigh","NC","1991","10",15.9550008773804
"Highlands","NC","1991","10",10.7140007019043
