"City","State","year","month","temp","precip"
"Raleigh","NC",1981,1,1.56200003623962,29.1539993286133
"Highlands","NC",1981,1,-2.55000019073486,19.9179992675781
"Manteo","NC",1981,1,2.44000005722046,37.6040000915527
"Topeka","KS",1981,1,-0.382000029087067,0.790000021457672
"Ann Arbor","MI",1981,1,-6.46600008010864,17.5209999084473
"New York","NY",1981,1,-4.38000011444092,11.7709999084473
"San Diego","CA",1981,1,15.1600008010864,38.6049995422363
"Flagstaff","AZ",1981,1,0.837000012397766,21.7299995422363
"Ajo","AZ",1981,1,14.6760005950928,23.9559993743896
"Portland","OR",1981,1,6.97600030899048,43.9780006408691
"Raleigh","NC",1981,2,6.52400016784668,84.7360000610352
"Highlands","NC",1981,2,1.36700010299683,245.287002563477
"Manteo","NC",1981,2,7.17700052261353,61.5610008239746
"Topeka","KS",1981,2,1.66300010681152,16.1989994049072
"Ann Arbor","MI",1981,2,-2.49000000953674,79.4369964599609
"New York","NY",1981,2,2.8270001411438,161.947998046875
"San Diego","CA",1981,2,15.6810007095337,35.7290000915527
"Flagstaff","AZ",1981,2,0.809000015258789,26.1650009155273
"Ajo","AZ",1981,2,14.4150009155273,6.93499994277954
"Portland","OR",1981,2,6.70300054550171,99.8489990234375
"Raleigh","NC",1981,3,8.40900039672852,53.8959999084473
"Highlands","NC",1981,3,4.72200012207031,135.798004150391
"Manteo","NC",1981,3,7.91300058364868,61.4000015258789
"Topeka","KS",1981,3,7.48000049591064,38.5449981689453
"Ann Arbor","MI",1981,3,2.19000005722046,25.4349994659424
"New York","NY",1981,3,4.45500040054321,33.8279991149902
"San Diego","CA",1981,3,14.4220008850098,100.204002380371
"Flagstaff","AZ",1981,3,0.998000025749207,91.3949966430664
"Ajo","AZ",1981,3,15.8950004577637,40.7290000915527
"Portland","OR",1981,3,9.653000831604,69.3870010375977
"Raleigh","NC",1981,4,17.3870010375977,17.3169994354248
"Highlands","NC",1981,4,13.7260007858276,75.4779968261719
"Manteo","NC",1981,4,17.0830001831055,36.8889999389648
"Topeka","KS",1981,4,16.230001449585,53.734001159668
"Ann Arbor","MI",1981,4,10.6050004959106,99.8789978027344
"New York","NY",1981,4,12.6760005950928,83.5179977416992
"San Diego","CA",1981,4,16.8280010223389,10.9739999771118
"Flagstaff","AZ",1981,4,7.55300045013428,34.4029998779297
"Ajo","AZ",1981,4,22.0970001220703,7.6230001449585
"Portland","OR",1981,4,11.0750007629395,79.2750015258789
"Raleigh","NC",1981,5,18.3980007171631,71.068000793457
"Highlands","NC",1981,5,13.8620004653931,247.242004394531
"Manteo","NC",1981,5,18.693000793457,104.500999450684
"Topeka","KS",1981,5,16.2700004577637,175.382995605469
"Ann Arbor","MI",1981,5,13.5800008773804,90.4420013427734
"New York","NY",1981,5,17.3830013275146,125.656997680664
"San Diego","CA",1981,5,18.6160011291504,2.65300011634827
"Flagstaff","AZ",1981,5,9.77500057220459,20.6889991760254
"Ajo","AZ",1981,5,24.4910011291504,4.15500020980835
"Portland","OR",1981,5,14.081000328064,50.8950004577637
"Raleigh","NC",1981,6,26.2430019378662,59.9249992370605
"Highlands","NC",1981,6,20.4090003967285,101.689002990723
"Manteo","NC",1981,6,26.0910015106201,112.339996337891
"Topeka","KS",1981,6,23.94700050354,207.352005004883
"Ann Arbor","MI",1981,6,20.1060009002686,89.3629989624023
"New York","NY",1981,6,22.6230010986328,61.2369995117188
"San Diego","CA",1981,6,22.3390007019043,0
"Flagstaff","AZ",1981,6,17.6220016479492,20.8040008544922
"Ajo","AZ",1981,6,32.2639999389648,0
