"City","State","year","month","precip"
"Ann Arbor","MI","1991","03",54.5110015869141
"New York","NY","1991","03",123.764999389648
"San Diego","CA","1991","03",205.182006835938
"Flagstaff","AZ","1991","03",246.285995483398
"Ajo ","AZ","1991","03",51.6220016479492
"Portland","OR","1991","03",115.177001953125
"Raleigh","NC","1991","04",42.8269996643066
"Highlands","NC","1991","04",257.820007324219
"Manteo","NC","1991","04",29.2940006256104
"Topeka","KS","1991","04",115.625
"Ann Arbor","MI","1991","04",75.9309997558594
"New York","NY","1991","04",95.0970001220703
"San Diego","CA","1991","04",3.36199998855591
"Flagstaff","AZ","1991","04",0
"Ajo ","AZ","1991","04",0
"Portland","OR","1991","04",106.670997619629
"Raleigh","NC","1991","05",90.9509963989258
"Highlands","NC","1991","05",279.580993652344
"Manteo","NC","1991","05",0.541999995708466
"Topeka","KS","1991","05",160.375
"Ann Arbor","MI","1991","05",88.7239990234375
"New York","NY","1991","05",85.4820022583008
"San Diego","CA","1991","05",0
"Flagstaff","AZ","1991","05",0.513999998569489
"Ajo ","AZ","1991","05",0
"Portland","OR","1991","05",104.574996948242
"Raleigh","NC","1991","06",113.636001586914
"Highlands","NC","1991","06",195.444000244141
"Manteo","NC","1991","06",110.033996582031
"Topeka","KS","1991","06",70.9000015258789
"Ann Arbor","MI","1991","06",48.2239990234375
"New York","NY","1991","06",69.4089965820312
"San Diego","CA","1991","06",0
"Flagstaff","AZ","1991","06",18.7660007476807
"Ajo ","AZ","1991","06",0
"Portland","OR","1991","06",61.3009986877441
"Raleigh","NC","1991","07",181.897994995117
"Highlands","NC","1991","07",210.697998046875
"Manteo","NC","1991","07",179.807006835938
"Topeka","KS","1991","07",28.375
"Ann Arbor","MI","1991","07",62.0750007629395
"New York","NY","1991","07",107.012001037598
"San Diego","CA","1991","07",0.0199999995529652
"Flagstaff","AZ","1991","07",48.992000579834
"Ajo ","AZ","1991","07",2.44700002670288
"Portland","OR","1991","07",3.3199999332428
"Raleigh","NC","1991","08",123.392997741699
"Highlands","NC","1991","08",235.725997924805
"Manteo","NC","1991","08",165.608001708984
"Topeka","KS","1991","08",50.5769996643066
"Ann Arbor","MI","1991","08",145.641006469727
"New York","NY","1991","08",176.759002685547
"San Diego","CA","1991","08",9.33500003814697
"Flagstaff","AZ","1991","08",57.3959999084473
"Ajo ","AZ","1991","08",12.6929998397827
"Portland","OR","1991","08",20.5030002593994
"Raleigh","NC","1991","09",56.7529983520508
"Highlands","NC","1991","09",126.503997802734
"Manteo","NC","1991","09",44.4980010986328
"Topeka","KS","1991","09",58.0169982910156
"Ann Arbor","MI","1991","09",30.9069995880127
"New York","NY","1991","09",124.535003662109
"San Diego","CA","1991","09",4.59200000762939
"Flagstaff","AZ","1991","09",42.0690002441406
"Ajo ","AZ","1991","09",45.3819999694824
"Portland","OR","1991","09",6.33300018310547
"Raleigh","NC","1991","10",37.6230010986328
"Highlands","NC","1991","10",21.6650009155273
"Manteo","NC","1991","10",135.817001342773
"Topeka","KS","1991","10",48.9850006103516
"Ann Arbor","MI","1991","10",93.7099990844727
"New York","NY","1991","10",65.6969985961914
"San Diego","CA","1991","10",17.6730003356934
"Flagstaff","AZ","1991","10",36.8170013427734
"Ajo ","AZ","1991","10",15.4519996643066
"Portland","OR","1991","10",56.5789985656738
"Raleigh","NC","1991","11",25.7959995269775
"Highlands","NC","1991","11",185.699996948242
"Manteo","NC","1991","11",27.363000869751
"Topeka","KS","1991","11",79.6790008544922
"Ann Arbor","MI","1991","11",85.7020034790039
"New York","NY","1991","11",74.4759979248047
"San Diego","CA","1991","11",0.867999970912933
"Flagstaff","AZ","1991","11",73.8880004882812
"Ajo ","AZ","1991","11",9.38599967956543
"Portland","OR","1991","11",178.901000976562
"Raleigh","NC","1991","12",80.302001953125
"Highlands","NC","1991","12",253.195007324219
"Manteo","NC","1991","12",107.651000976562
"Topeka","KS","1991","12",57.1220016479492
"Ann Arbor","MI","1991","12",60.6629981994629
"New York","NY","1991","12",93.0029983520508
"San Diego","CA","1991","12",47.8269996643066
"Flagstaff","AZ","1991","12",68.6060028076172
"Ajo ","AZ","1991","12",40.6459999084473
"Portland","OR","1991","12",131.244003295898
"Raleigh","NC","2001","01",36.7249984741211
"Highlands","NC","2001","01",137.531997680664
"Manteo","NC","2001","01",41.6510009765625
"Topeka","KS","2001","01",33.1209983825684
"Ann Arbor","MI","2001","01",33.3740005493164
"New York","NY","2001","01",65.5540008544922
"San Diego","CA","2001","01",86.2490005493164
"Flagstaff","AZ","2001","01",40.5779991149902
"Ajo ","AZ","2001","01",36.173999786377
"Portland","OR","2001","01",50.9570007324219
"Raleigh","NC","2001","02",56.2459983825684
"Highlands","NC","2001","02",123.747001647949
"Manteo","NC","2001","02",67.3619995117188
"Topeka","KS","2001","02",92.7720031738281
"Ann Arbor","MI","2001","02",87.7610015869141
"New York","NY","2001","02",48.681999206543
"San Diego","CA","2001","02",74.4710006713867
"Flagstaff","AZ","2001","02",46.048999786377
"Ajo ","AZ","2001","02",11.8140001296997
"Portland","OR","2001","02",43.6450004577637
"Raleigh","NC","2001","03",151.54899597168
"Highlands","NC","2001","03",187.391006469727
"Manteo","NC","2001","03",86.4179992675781
"Topeka","KS","2001","03",70.177001953125
"Ann Arbor","MI","2001","03",30.4179992675781
"New York","NY","2001","03",158.468002319336
"San Diego","CA","2001","03",29.1569995880127
"Flagstaff","AZ","2001","03",31.1480007171631
"Ajo ","AZ","2001","03",23.3360004425049
"Portland","OR","2001","03",90.568000793457
"Raleigh","NC","2001","04",66.1640014648438
"Highlands","NC","2001","04",38.8030014038086
"Manteo","NC","2001","04",58.7309989929199
"Topeka","KS","2001","04",92.1740036010742
"Ann Arbor","MI","2001","04",73.5859985351562
"New York","NY","2001","04",42.6030006408691
"San Diego","CA","2001","04",25.5009994506836
"Flagstaff","AZ","2001","04",36.4539985656738
"Ajo ","AZ","2001","04",9.91800022125244
